,GEN,BEZ,county,BL,googlemaps_key
397,Saale-Orla-Kreis,Landkreis,LK Saale-Orla-Kreis,Thüringen,Saale-Orla-Kreis
398,Greiz,Landkreis,LK Greiz,Thüringen,Greiz
399,Altenburger Land,Landkreis,LK Altenburger Land,Thüringen,Altenburger Land
400,Berlin Reinickendorf,Bezirk,SK Berlin Reinickendorf,Berlin,Reinickendorf
401,Berlin Charlottenburg-Wilmersdorf,Bezirk,SK Berlin Charlottenburg-Wilmersdorf,Berlin,Charlottenburg-Wilmersdorf
402,Berlin Treptow-Köpenick,Bezirk,SK Berlin Treptow-Köpenick,Berlin,Treptow-Köpenick
403,Berlin Pankow,Bezirk,SK Berlin Pankow,Berlin,Pankow
404,Berlin Neukölln,Bezirk,SK Berlin Neukölln,Berlin,Neukölln
405,Berlin Lichtenberg,Bezirk,SK Berlin Lichtenberg,Berlin,Lichtenberg
406,Berlin Marzahn-Hellersdorf,Bezirk,SK Berlin Marzahn-Hellersdorf,Berlin,Marzahn-Hellersdorf
407,Berlin Spandau,Bezirk,SK Berlin Spandau,Berlin,Spandau
408,Berlin Steglitz-Zehlendorf,Bezirk,SK Berlin Steglitz-Zehlendorf,Berlin,Steglitz-Zehlendorf
409,Berlin Mitte,Bezirk,SK Berlin Mitte,Berlin,Mitte
410,Berlin Friedrichshain-Kreuzberg,Bezirk,SK Berlin Friedrichshain-Kreuzberg,Berlin,Friedrichshain-Kreuzberg
411,Berlin Tempelhof-Schöneberg,Bezirk,SK Berlin Tempelhof-Schöneberg,Berlin,Tempelhof-Schöneberg
